age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,job_satisfaction_score,age_group,hours_bin,daily_social_media_time_bin
56,Male,Unemployed,4.2,Facebook,61,6.8,8.0,7.3,4.0,5.1,0.4,8,False,False,4,11,6.3,40-60,4-8,"(3.6, 5.4]"
46,Male,Health,3.2,Twitter,59,9.2,5.1,5.2,7.0,5.1,0.7,7,True,True,2,25,3.4,40-60,0-4,"(1.8, 3.6]"
32,Male,Finance,2.8,Twitter,57,7.9,3.9,3.5,4.0,8.6,0.6,0,True,False,3,17,2.5,20-40,0-4,"(1.8, 3.6]"
60,Female,Unemployed,2.4,Facebook,59,6.4,2.9,1.8,6.0,6.1,1.2,1,False,False,0,4,1.7,40-60,0-4,"(1.8, 3.6]"
25,Male,IT,1.9,Telegram,66,6.2,8.9,2.9,7.0,5.4,1.9,1,False,True,1,30,9.7,20-40,0-4,"(1.8, 3.6]"
38,Male,Finance,1.5,Twitter,50,6.4,7.6,4.1,5.0,5.5,1.5,5,False,True,5,2,4.6,20-40,0-4,"(-0.018, 1.8]"
56,Female,Unemployed,4.4,TikTok,60,3.9,6.4,6.0,7.0,7.5,2.3,4,False,False,4,20,5.5,40-60,4-8,"(3.6, 5.4]"
36,Female,Education,4.1,Twitter,49,6.6,2.7,2.4,4.0,6.3,0.7,2,False,False,4,29,3.4,20-40,4-8,"(3.6, 5.4]"
40,Female,Education,4.1,Instagram,57,5.8,3.2,3.0,4.0,6.5,0.0,10,False,True,2,10,2.0,20-40,4-8,"(3.6, 5.4]"
28,Other,IT,7.6,Twitter,64,5.9,6.1,5.5,3.0,6.8,1.4,10,False,False,1,18,6.8,20-40,4-8,"(7.2, 9.0]"
28,Male,IT,3.3,Twitter,57,11.0,8.9,8.0,4.0,4.0,1.0,5,True,True,1,3,9.4,20-40,0-4,"(1.8, 3.6]"
41,Female,Finance,2.2,Twitter,59,10.1,7.7,7.8,9.0,6.1,0.9,8,True,False,4,30,6.0,40-60,0-4,"(1.8, 3.6]"
53,Male,Student,2.7,TikTok,77,5.6,8.6,7.7,7.0,4.6,0.6,5,False,False,0,15,8.8,40-60,0-4,"(1.8, 3.6]"
57,Male,Education,0.0,Twitter,60,6.8,8.9,7.9,5.0,6.8,1.3,3,False,False,4,27,7.6,40-60,,"(-0.018, 1.8]"
41,Male,Education,3.8,TikTok,65,8.6,7.5,6.8,10.0,7.9,1.3,6,True,False,4,20,6.8,40-60,0-4,"(3.6, 5.4]"
20,Male,Student,5.8,TikTok,67,4.7,2.6,2.9,5.0,8.3,1.1,9,False,False,4,0,2.2,0-20,4-8,"(5.4, 7.2]"
